shipment_id,shipment_number,shipment_date,warehouse_id,warehouse_name,customer_id,customer_code,customer_name,product_id,product_code,product_name,quantity,unit_price,total_amount,consignee,consignee_phone,delivery_address,logistics_provider,tracking_number,estimated_delivery_date,actual_delivery_date,delivery_status,sales_order_number,notes,created_date,status,sales_order_line_number
SH0000011,SH-202305-0011,2023-05-18,WH003,配件仓,10016,CUST-10016,上海沃土农资技术有限公司,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,689,35451.48,24426069.72,上海沃土农资技术有限公司,18844079627,湖北省襄阳市,中通快递,SF20230518175218,2023-05-22,,已发货,SO-202305-9885,,2023-05-18,Active,10
SH0000012,SH-202305-0012,2023-05-03,WH002,电子材料仓,10183,CUST-10183,哈尔滨电子科技经销有限公司,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,1215,35451.48,43073548.2,哈尔滨电子科技经销有限公司,13601259650,湖北省襄阳市,中通快递,SF20230503300750,2023-05-05,,运输中,SO-202305-2107,,2023-05-03,Active,10
SH0000013,SH-202305-0013,2023-05-11,WH001,中央成品仓,10209,CUST-10209,青岛建模工程股份有限公司,P0003,UAV-XF-PRO-A,巡风摄影版整机,503,6430.22,3234400.66,青岛建模工程股份有限公司,18524057140,江苏省南京市,百世快递,SF20230511328668,2023-05-13,,运输中,SO-202305-6855,,2023-05-11,Active,10
SH0000014,SH-202305-0014,2023-05-15,WH005,原材料仓,10026,CUST-10026,大连农兴植保有限公司,P0003,UAV-XF-PRO-A,巡风摄影版整机,415,6430.22,2668541.3,大连农兴植保有限公司,13819401855,浙江省宁波市,德邦物流,SF20230515537031,2023-05-18,2023-05-18,已签收,SO-202305-3905,,2023-05-15,Active,10
SH0000015,SH-202305-0015,2023-05-16,WH005,原材料仓,10067,CUST-10067,杭州光影时代影像工作室,P0003,UAV-XF-PRO-A,巡风摄影版整机,460,6430.22,2957901.2,杭州光影时代影像工作室,13829008263,福建省厦门市,百世快递,SF20230516419237,2023-05-20,,运输中,SO-202305-4050,,2023-05-16,Active,10
SH0000016,SH-202305-0016,2023-05-11,WH002,电子材料仓,10179,CUST-10179,北京航空航天大学机械学院实验室,P0003,UAV-XF-PRO-A,巡风摄影版整机,277,6430.22,1781170.94,北京航空航天大学机械学院实验室,18613503486,福建省福州市,圆通速递,SF20230511492818,2023-05-17,2023-05-17,已签收,SO-202305-3367,,2023-05-11,Active,10
SH0000017,SH-202305-0017,2023-05-02,WH003,配件仓,10063,CUST-10063,哈尔滨天图空间信息工程有限公司,P0003,UAV-XF-PRO-A,巡风摄影版整机,600,6430.22,3858132.0,哈尔滨天图空间信息工程有限公司,13624403511,上海市上海市,中通快递,SF20230502109584,2023-05-07,,已发货,SO-202305-6452,,2023-05-02,Active,10
SH0000018,SH-202305-0018,2023-05-09,WH003,配件仓,10122,CUST-10122,厦门新能源风电技术有限公司,P0003,UAV-XF-PRO-A,巡风摄影版整机,300,6430.22,1929066.0,厦门新能源风电技术有限公司,18639607173,湖南省长沙市,申通快递,SF20230509428541,2023-05-13,2023-05-13,已签收,SO-202305-9954,,2023-05-09,Active,10
SH0000019,SH-202305-0019,2023-05-13,WH001,中央成品仓,10055,CUST-10055,郑州经纬空间信息有限公司,P0003,UAV-XF-PRO-A,巡风摄影版整机,592,6430.22,3806690.24,郑州经纬空间信息有限公司,18651254284,福建省厦门市,顺丰速运,SF20230513472541,2023-05-20,2023-05-20,已签收,SO-202305-2420,,2023-05-13,Active,10
SH0000020,SH-202305-0020,2023-05-02,WH002,电子材料仓,10162,CUST-10162,北京环境水务科技有限公司,P0003,UAV-XF-PRO-A,巡风摄影版整机,793,6430.22,5099164.46,北京环境水务科技有限公司,13850565834,湖北省武汉市,申通快递,SF20230502895165,2023-05-06,,已发货,SO-202305-8126,,2023-05-02,Active,10
SH0000021,SH-202305-0021,2023-05-01,WH001,中央成品仓,10045,CUST-10045,青岛精测地理信息服务有限公司,P0004,UAV-XF-PRO-B,巡风探索版整机,580,27740.99,16089774.2,青岛精测地理信息服务有限公司,18607011007,四川省绵阳市,顺丰速运,SF20230501616547,2023-05-07,,运输中,SO-202305-7789,,2023-05-01,Active,10
SH0000022,SH-202305-0022,2023-05-04,WH003,配件仓,10021,CUST-10021,青岛沃土植保有限公司,P0004,UAV-XF-PRO-B,巡风探索版整机,582,27740.99,16145256.18,青岛沃土植保有限公司,13866891322,湖南省株洲市,中通快递,SF20230504833681,2023-05-10,2023-05-10,已签收,SO-202305-2336,,2023-05-04,Active,10
SH0000023,SH-202305-0023,2023-05-21,WH001,中央成品仓,10148,CUST-10148,青岛物流通配送集团有限公司,P0004,UAV-XF-PRO-B,巡风探索版整机,359,27740.99,9959015.41,青岛物流通配送集团有限公司,13822731290,山东省烟台市,顺丰速运,SF20230521290548,2023-05-26,2023-05-26,已签收,SO-202305-8687,需加急,2023-05-21,Active,10
SH0000024,SH-202305-0024,2023-05-27,WH001,中央成品仓,10001,CUST-10001,广州绿野农技技术有限公司,P0004,UAV-XF-PRO-B,巡风探索版整机,303,27740.99,8405519.97,广州绿野农技技术有限公司,13933667797,北京市北京市,京东物流,SF20230527663540,2023-05-30,2023-05-30,已签收,SO-202305-2535,客户要求提前,2023-05-27,Active,10
SH0000025,SH-202305-0025,2023-05-08,WH001,中央成品仓,10085,CUST-10085,苏州光线文化工作室,P0004,UAV-XF-PRO-B,巡风探索版整机,410,27740.99,11373805.9,苏州光线文化工作室,13680118157,重庆市重庆市,京东物流,SF20230508432423,2023-05-14,,已发货,SO-202305-6346,,2023-05-08,Active,10
SH0000026,SH-202305-0026,2023-05-09,WH003,配件仓,10051,CUST-10051,哈尔滨天图测量科技有限公司,P0004,UAV-XF-PRO-B,巡风探索版整机,554,27740.99,15368508.46,哈尔滨天图测量科技有限公司,18067440042,浙江省绍兴市,德邦物流,SF20230509243466,2023-05-16,,已发货,SO-202305-2834,,2023-05-09,Active,10
SH0000027,SH-202305-0027,2023-05-24,WH001,中央成品仓,10113,CUST-10113,天津安邦安防服务有限公司,P0004,UAV-XF-PRO-B,巡风探索版整机,298,27740.99,8266815.02,天津安邦安防服务有限公司,13553180424,上海市上海市,顺丰速运,SF20230524186106,2023-05-28,,运输中,SO-202305-1921,,2023-05-24,Active,10
SH0000028,SH-202305-0028,2023-05-14,WH005,原材料仓,10035,CUST-10035,厦门绿源农科技术有限公司,P0004,UAV-XF-PRO-B,巡风探索版整机,560,27740.99,15534954.4,厦门绿源农科技术有限公司,13847112043,重庆市重庆市,韵达快递,SF20230514923019,2023-05-18,2023-05-18,已签收,SO-202305-6420,,2023-05-14,Active,10
SH0000029,SH-202305-0029,2023-05-22,WH003,配件仓,10033,CUST-10033,杭州大地农资有限公司,P0004,UAV-XF-PRO-B,巡风探索版整机,1133,27740.99,31430541.67,杭州大地农资有限公司,18021179321,上海市上海市,德邦物流,SF20230522429076,2023-05-26,,已发货,SO-202305-1580,,2023-05-22,Active,10
SH0000030,SH-202305-0030,2023-05-18,WH002,电子材料仓,10218,CUST-10218,济南景区管理旅游集团有限公司,P0005,UAV-XF-PRO-C,巡风全能版整机,696,37220.88,25905732.48,济南景区管理旅游集团有限公司,18861297473,上海市上海市,申通快递,SF20230518838690,2023-05-22,2023-05-22,已签收,SO-202305-4451,,2023-05-18,Active,10
SH0000031,SH-202305-0031,2023-05-08,WH002,电子材料仓,10077,CUST-10077,深圳影像空间文化文化传播有限公司,P0005,UAV-XF-PRO-C,巡风全能版整机,330,37220.88,12282890.4,深圳影像空间文化文化传播有限公司,18529534365,山东省青岛市,德邦物流,SF20230508976603,2023-05-13,,运输中,SO-202305-6457,,2023-05-08,Active,10
SH0000032,SH-202305-0032,2023-05-10,WH002,电子材料仓,10203,CUST-10203,济南工建工程测量技术有限公司,P0005,UAV-XF-PRO-C,巡风全能版整机,518,37220.88,19280415.84,济南工建工程测量技术有限公司,18070107302,重庆市重庆市,圆通速递,SF20230510613276,2023-05-14,,运输中,SO-202305-6250,,2023-05-10,Active,10
SH0000033,SH-202305-0033,2023-05-21,WH005,原材料仓,10183,CUST-10183,哈尔滨电子科技经销有限公司,P0005,UAV-XF-PRO-C,巡风全能版整机,412,37220.88,15335002.56,哈尔滨电子科技经销有限公司,18868543770,湖北省襄阳市,申通快递,SF20230521239924,2023-05-27,2023-05-27,已签收,SO-202305-1711,,2023-05-21,Active,10
SH0000034,SH-202305-0034,2023-05-27,WH001,中央成品仓,10079,CUST-10079,天津光影工场广告文化传播有限公司,P0005,UAV-XF-PRO-C,巡风全能版整机,472,37220.88,17568255.36,天津光影工场广告文化传播有限公司,18870700031,重庆市重庆市,百世快递,SF20230527201584,2023-05-30,2023-05-30,已签收,SO-202305-4638,,2023-05-27,Active,10
SH0000035,SH-202305-0035,2023-05-01,WH001,中央成品仓,10043,CUST-10043,南京测控测绘科技有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,303,14919.83,4520708.49,南京测控测绘科技有限公司,18675645904,江苏省无锡市,百世快递,SF20230501698820,2023-05-07,2023-05-07,已签收,SO-202305-9057,,2023-05-01,Active,10
SH0000036,SH-202305-0036,2023-05-20,WH001,中央成品仓,10051,CUST-10051,哈尔滨天图测量科技有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,332,14919.83,4953383.56,哈尔滨天图测量科技有限公司,13869820259,浙江省绍兴市,韵达快递,SF20230520512194,2023-05-24,2023-05-24,已签收,SO-202305-1252,,2023-05-20,Active,10
SH0000037,SH-202305-0037,2023-05-23,WH001,中央成品仓,10105,CUST-10105,深圳安信安全服务有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,259,14919.83,3864235.97,深圳安信安全服务有限公司,13927736637,重庆市重庆市,百世快递,SF20230523597765,2023-05-27,2023-05-27,已签收,SO-202305-8493,,2023-05-23,Active,10
SH0000038,SH-202305-0038,2023-05-01,WH002,电子材料仓,10150,CUST-10150,青岛物流通货运服务有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,428,14919.83,6385687.24,青岛物流通货运服务有限公司,13574038130,黑龙江省哈尔滨市,圆通速递,SF20230501395403,2023-05-03,2023-05-03,已签收,SO-202305-9517,,2023-05-01,Active,10
SH0000039,SH-202305-0039,2023-05-26,WH001,中央成品仓,10076,CUST-10076,杭州视野制作传媒有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,349,14919.83,5207020.67,杭州视野制作传媒有限公司,18662450412,上海市上海市,申通快递,SF20230526604258,2023-06-02,2023-06-02,已签收,SO-202305-2545,,2023-05-26,Active,10
SH0000040,SH-202305-0040,2023-05-02,WH001,中央成品仓,10004,CUST-10004,上海绿野农业服务有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,283,14919.83,4222311.89,上海绿野农业服务有限公司,18836090967,江苏省苏州市,圆通速递,SF20230502581853,2023-05-06,2023-05-06,已签收,SO-202305-9722,,2023-05-02,Active,10
SH0000041,SH-202305-0041,2023-05-03,WH001,中央成品仓,10226,CUST-10226,深圳阳光保险财产保险有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,373,14919.83,5565096.59,深圳阳光保险财产保险有限公司,18026556543,广东省深圳市,中通快递,SF20230503217331,2023-05-08,,已发货,SO-202305-2786,,2023-05-03,Active,10
SH0000042,SH-202305-0042,2023-05-28,WH001,中央成品仓,10038,CUST-10038,青岛空地测量有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,378,14919.83,5639695.74,青岛空地测量有限公司,13897526649,湖北省宜昌市,京东物流,SF20230528979906,2023-06-02,,运输中,SO-202305-4045,,2023-05-28,Active,10
SH0000043,SH-202305-0043,2023-05-04,WH001,中央成品仓,10003,CUST-10003,青岛田园农科有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,401,14919.83,5982851.83,青岛田园农科有限公司,18836204351,辽宁省沈阳市,顺丰速运,SF20230504395882,2023-05-10,2023-05-10,已签收,SO-202305-5964,,2023-05-04,Active,10
SH0000044,SH-202305-0044,2023-05-04,WH001,中央成品仓,10133,CUST-10133,沈阳智电新能源股份有限公司,P0006,UAV-JF-ENT-AG,极风农业版整机,372,14919.83,5550176.76,沈阳智电新能源股份有限公司,18860530505,陕西省西安市,顺丰速运,SF20230504730145,2023-05-09,2023-05-09,已签收,SO-202305-8774,,2023-05-04,Active,10
SH0000045,SH-202305-0045,2023-05-01,WH001,中央成品仓,10012,CUST-10012,厦门绿洲农资科技有限公司,P0007,UAV-JF-ENT-SV,极风测绘版整机,322,44118.51,14206160.22,厦门绿洲农资科技有限公司,18099714075,北京市北京市,申通快递,SF20230501813993,2023-05-05,,已发货,SO-202305-7857,,2023-05-01,Active,10
SH0000046,SH-202305-0046,2023-05-13,WH003,配件仓,10026,CUST-10026,大连农兴植保有限公司,P0007,UAV-JF-ENT-SV,极风测绘版整机,184,44118.51,8117805.84,大连农兴植保有限公司,13560045659,浙江省宁波市,顺丰速运,SF20230513685962,2023-05-18,2023-05-18,已签收,SO-202305-6331,,2023-05-13,Active,10
SH0000047,SH-202305-0047,2023-05-25,WH001,中央成品仓,10164,CUST-10164,青岛环保环保工程有限公司,P0007,UAV-JF-ENT-SV,极风测绘版整机,241,44118.51,10632560.91,青岛环保环保工程有限公司,18058469422,上海市上海市,百世快递,SF20230525366306,2023-06-01,,已发货,SO-202305-2529,,2023-05-25,Active,10
SH0000048,SH-202305-0048,2023-05-23,WH001,中央成品仓,10144,CUST-10144,武汉顺丰配送服务有限公司,P0007,UAV-JF-ENT-SV,极风测绘版整机,300,44118.51,13235553,武汉顺丰配送服务有限公司,18509175949,广东省广州市,德邦物流,SF20230523938551,2023-05-29,2023-05-29,已签收,SO-202305-9655,按时送达,2023-05-23,Active,10
SH0000049,SH-202305-0049,2023-05-15,WH001,中央成品仓,10107,CUST-10107,南京安防警用装备科技有限公司,P0007,UAV-JF-ENT-SV,极风测绘版整机,183,44118.51,8073687.33,南京安防警用装备科技有限公司,18542340544,陕西省咸阳市,京东物流,SF20230515236053,2023-05-21,2023-05-21,已签收,SO-202305-1139,,2023-05-15,Active,10
SH0000050,SH-202305-0050,2023-05-12,WH001,中央成品仓,10018,CUST-10018,郑州绿洲农服技术有限公司,P0007,UAV-JF-ENT-SV,极风测绘版整机,168,44118.51,7411909.68,郑州绿洲农服技术有限公司,13684806693,重庆市重庆市,中通快递,SF20230512754893,2023-05-14,2023-05-14,已签收,SO-202305-4656,,2023-05-12,Active,10
SH0000051,SH-202305-0051,2023-05-02,WH001,中央成品仓,10177,CUST-10177,中国林业科学院机械学院实验室,P0007,UAV-JF-ENT-SV,极风测绘版整机,138,44118.51,6088354.38,中国林业科学院机械学院实验室,13669920745,河南省洛阳市,申通快递,SF20230502651692,2023-05-07,,已发货,SO-202305-1397,,2023-05-02,Active,10
SH0000052,SH-202305-0052,2023-05-21,WH001,中央成品仓,10041,CUST-10041,沈阳测量地理信息科技有限公司,P0007,UAV-JF-ENT-SV,极风测绘版整机,655,44118.51,28897624.05,沈阳测量地理信息科技有限公司,18551921487,山东省青岛市,京东物流,SF20230521499508,2023-05-28,2023-05-28,已签收,SO-202305-8843,,2023-05-21,Active,10
SH0000053,SH-202305-0053,2023-05-19,WH001,中央成品仓,10003,CUST-10003,青岛田园农科有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,122,36416.27,4442784.94,青岛田园农科有限公司,13957234639,辽宁省沈阳市,京东物流,SF20230519314625,2023-05-22,2023-05-22,已签收,SO-202305-4818,,2023-05-19,Active,10
SH0000054,SH-202305-0054,2023-05-20,WH004,机电仓,10145,CUST-10145,长沙申通配送科技有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,83,36416.27,3022550.41,长沙申通配送科技有限公司,13652424174,江苏省无锡市,韵达快递,SF20230520701210,2023-05-25,2023-05-25,已签收,SO-202305-4505,,2023-05-20,Active,10
SH0000055,SH-202305-0055,2023-05-12,WH001,中央成品仓,10041,CUST-10041,沈阳测量地理信息科技有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,88,36416.27,3204631.76,沈阳测量地理信息科技有限公司,18096246474,山东省青岛市,京东物流,SF20230512966771,2023-05-15,2023-05-15,已签收,SO-202305-8364,,2023-05-12,Active,10
SH0000056,SH-202305-0056,2023-05-20,WH001,中央成品仓,10041,CUST-10041,沈阳测量地理信息科技有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,69,36416.27,2512722.63,沈阳测量地理信息科技有限公司,13578572363,山东省青岛市,德邦物流,SF20230520738322,2023-05-27,2023-05-27,已签收,SO-202305-6983,,2023-05-20,Active,10
SH0000057,SH-202305-0057,2023-05-15,WH004,机电仓,10211,CUST-10211,上海建设工程测量集团有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,105,36416.27,3823708.35,上海建设工程测量集团有限公司,13545404933,湖北省襄阳市,顺丰速运,SF20230515324554,2023-05-17,,运输中,SO-202305-9258,,2023-05-15,Active,10
SH0000058,SH-202305-0058,2023-05-13,WH005,原材料仓,10209,CUST-10209,青岛建模工程股份有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,88,36416.27,3204631.76,青岛建模工程股份有限公司,18045313709,江苏省南京市,京东物流,SF20230513506497,2023-05-18,2023-05-18,已签收,SO-202305-1161,,2023-05-13,Active,10
SH0000059,SH-202305-0059,2023-05-04,WH001,中央成品仓,10183,CUST-10183,哈尔滨电子科技经销有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,110,36416.27,4005789.7,哈尔滨电子科技经销有限公司,13547677010,湖北省襄阳市,中通快递,SF20230504174894,2023-05-09,2023-05-09,已签收,SO-202305-3152,,2023-05-04,Active,10
SH0000060,SH-202305-0060,2023-05-18,WH001,中央成品仓,10112,CUST-10112,武汉守护安全技术有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,64,36416.27,2330641.28,武汉守护安全技术有限公司,18630146646,辽宁省大连市,韵达快递,SF20230518511898,2023-05-23,,已发货,SO-202305-5620,,2023-05-18,Active,10
SH0000061,SH-202305-0061,2023-05-13,WH001,中央成品仓,10199,CUST-10199,哈尔滨电子电子经销有限公司,P0008,UAV-JF-ENT-SC,极风安防版整机,121,36416.27,4406368.67,哈尔滨电子电子经销有限公司,18638499981,福建省厦门市,申通快递,SF20230513542870,2023-05-17,2023-05-17,已签收,SO-202305-3932,,2023-05-13,Active,10
SH0000062,SH-202305-0062,2023-05-07,WH001,中央成品仓,10089,CUST-10089,西安影像空间影像传媒有限公司,P0009,UAV-BF-IND-H20,霸风20L植保无人机,269,14689.12,3951373.28,西安影像空间影像传媒有限公司,18093922906,四川省成都市,京东物流,SF20230507250326,2023-05-13,,已发货,SO-202305-8007,,2023-05-07,Active,10
SH0000063,SH-202305-0063,2023-05-18,WH001,中央成品仓,10143,CUST-10143,西安京东货运有限公司,P0009,UAV-BF-IND-H20,霸风20L植保无人机,524,14689.12,7697098.88,西安京东货运有限公司,18844742179,湖南省长沙市,京东物流,SF20230518654403,2023-05-20,,运输中,SO-202305-2229,,2023-05-18,Active,10
SH0000064,SH-202305-0064,2023-05-23,WH001,中央成品仓,10030,CUST-10030,长沙绿地农服技术有限公司,P0009,UAV-BF-IND-H20,霸风20L植保无人机,467,14689.12,6859819.04,长沙绿地农服技术有限公司,13533988217,福建省厦门市,京东物流,SF20230523815888,2023-05-29,,已发货,SO-202305-7873,,2023-05-23,Active,10
SH0000065,SH-202305-0065,2023-05-09,WH001,中央成品仓,10164,CUST-10164,青岛环保环保工程有限公司,P0009,UAV-BF-IND-H20,霸风20L植保无人机,221,14689.12,3246295.52,青岛环保环保工程有限公司,18007760836,上海市上海市,申通快递,SF20230509887512,2023-05-15,2023-05-15,已签收,SO-202305-4202,,2023-05-09,Active,10
SH0000066,SH-202305-0066,2023-05-17,WH001,中央成品仓,10128,CUST-10128,深圳能控新能源集团有限公司,P0009,UAV-BF-IND-H20,霸风20L植保无人机,366,14689.12,5376217.92,深圳能控新能源集团有限公司,18506416100,湖南省长沙市,申通快递,SF20230517515153,2023-05-23,2023-05-23,已签收,SO-202305-9563,,2023-05-17,Active,10
SH0000067,SH-202305-0067,2023-05-23,WH001,中央成品仓,10064,CUST-10064,上海天地地理信息技术有限公司,P0009,UAV-BF-IND-H20,霸风20L植保无人机,282,14689.12,4142331.84,上海天地地理信息技术有限公司,13867563780,浙江省绍兴市,中通快递,SF20230523695023,2023-05-25,,运输中,SO-202305-6486,,2023-05-23,Active,10
SH0000068,SH-202305-0068,2023-05-08,WH001,中央成品仓,10107,CUST-10107,南京安防警用装备科技有限公司,P0010,UAV-BF-IND-H30,霸风30L植保无人机,470,9173.56,4311573.2,南京安防警用装备科技有限公司,18821658384,陕西省咸阳市,京东物流,SF20230508839022,2023-05-12,,已发货,SO-202305-7142,,2023-05-08,Active,10
SH0000069,SH-202305-0069,2023-05-14,WH001,中央成品仓,10147,CUST-10147,上海申通货运科技有限公司,P0010,UAV-BF-IND-H30,霸风30L植保无人机,329,9173.56,3018101.24,上海申通货运科技有限公司,18640285727,重庆市重庆市,圆通速递,SF20230514825791,2023-05-20,2023-05-20,已签收,SO-202305-2777,,2023-05-14,Active,10
SH0000070,SH-202305-0070,2023-05-20,WH001,中央成品仓,10104,CUST-10104,杭州警翼警用装备科技有限公司,P0010,UAV-BF-IND-H30,霸风30L植保无人机,292,9173.56,2678679.52,杭州警翼警用装备科技有限公司,18531499648,重庆市重庆市,京东物流,SF20230520124906,2023-05-23,2023-05-23,已签收,SO-202305-4577,,2023-05-20,Active,10
SH0000071,SH-202305-0071,2023-05-09,WH005,原材料仓,10174,CUST-10174,哈尔滨工业大学自动化学院研究所,P0010,UAV-BF-IND-H30,霸风30L植保无人机,398,9173.56,3651076.88,哈尔滨工业大学自动化学院研究所,18578712069,江苏省南京市,韵达快递,SF20230509876051,2023-05-11,2023-05-11,已签收,SO-202305-7539,,2023-05-09,Active,10
SH0000072,SH-202305-0072,2023-05-06,WH001,中央成品仓,10087,CUST-10087,大连影视通传媒传媒有限公司,P0010,UAV-BF-IND-H30,霸风30L植保无人机,394,9173.56,3614382.64,大连影视通传媒传媒有限公司,13686993571,重庆市重庆市,京东物流,SF20230506629202,2023-05-13,,运输中,SO-202305-3775,,2023-05-06,Active,10
SH0000073,SH-202305-0073,2023-05-04,WH003,配件仓,10172,CUST-10172,北京大学电子学院研究所,P0010,UAV-BF-IND-H30,霸风30L植保无人机,720,9173.56,6604963.2,北京大学电子学院研究所,18839189863,湖南省长沙市,韵达快递,SF20230504167382,2023-05-09,2023-05-09,已签收,SO-202305-5911,,2023-05-04,Active,10
SH0000074,SH-202604-0074,2026-04-01,WH001,中央成品仓,10116,CUST-10116,重庆安泰安全科技有限公司,P0009,UAV-BF-IND-H20,霸风20L植保无人机,78,65549.05,8521376.5,重庆安泰安全科技有限公司,19463512350,福建省福州市,顺丰,SF2026000074,2026-04-30,,已签收,SO-202604-00001,,2026-04-01,Active,10
SH0000075,SH-202605-0075,2026-05-01,WH001,中央成品仓,10078,CUST-10078,厦门影立方制作有限公司,P0009,UAV-BF-IND-H20,霸风20L植保无人机,368,32009.03,7362076.9,厦门影立方制作有限公司,17206681214,北京市北京市,顺丰,SF2026000075,2026-05-30,,运输中,SO-202605-00002,,2026-05-01,Active,10
SH0000076,SH-202604-0076,2026-04-01,WH001,中央成品仓,10010,CUST-10010,武汉农兴农业科技有限公司,P0010,UAV-BF-IND-H30,霸风30L植保无人机,78,32009.03,4161173.9,武汉农兴农业科技有限公司,15305718272,上海市上海市,百世快递,SF2026000076,2026-04-30,,运输中,SO-202604-00003,,2026-04-01,Active,10
SH0000077,SH-202605-0077,2026-05-01,WH001,中央成品仓,10164,CUST-10164,青岛环保环保工程有限公司,P0010,UAV-BF-IND-H30,霸风30L植保无人机,480,43699.05,13109715.0,青岛环保环保工程有限公司,19747382621,上海市上海市,顺丰,SF2026000077,2026-05-30,,已签收,SO-202605-00004,,2026-05-01,Active,10
